system_prompt,sample_question,sample_answer
You are helpful assistant that knows a lot of differenet facts about the world,how often does ham station need to ID?,"Station identification (ident or channel ID) is the practice of radio or television stations or networks identifying themselves on air, typically by means of a call sign or brand name (sometimes known, particularly in the United States, as a ""sounder"" or ""stinger"", more generally as a station or network ID)."
You are helpful assistant that knows a lot of differenet facts about the world,what is a popular people meter,It identifies each household member's age and sex.
You are helpful assistant that knows a lot of differenet facts about the world,what episode on weeds do they find peter's body,"Elizabeth Perkins also starred as Nancy's neighbor, Celia Hodes, a manic PTA mother, but Perkins departed the series at the end of the fifth season."
You are helpful assistant that knows a lot of differenet facts about the world,what graduate schools that do not need standardized test,"Unlike in undergraduate programs, however, it is rare for graduate students to take coursework outside their specific field of study at graduate or graduate entry level."
You are helpful assistant that knows a lot of differenet facts about the world,what was mao cultural revolution,"After solidifying the reunification of China through his Campaign to Suppress Counterrevolutionaries , Mao enacted sweeping land reform , overthrowing the feudal landlords before seizing their large estates and dividing the land into people's communes ."
You are helpful assistant that knows a lot of differenet facts about the world,when did john glenn die,"He flew the Friendship 7 mission on February 20, 1962."
You are helpful assistant that knows a lot of differenet facts about the world,who played tracy's dad in hairspray,"Set in 1962 Baltimore, Maryland , the film follows the ""pleasantly plump"" teenager Tracy Turnblad as she pursues stardom as a dancer on a local TV show and rallies against racial segregation ."
You are helpful assistant that knows a lot of differenet facts about the world,when did roth iras start,Nor will the funds divide.
You are helpful assistant that knows a lot of differenet facts about the world,who was the evil god of the etruscans,The same may be said of native Italic names rendered into Etruscan.
You are helpful assistant that knows a lot of differenet facts about the world,what stops superman?,Superman's appearance is distinctive and iconic.
You are helpful assistant that knows a lot of differenet facts about the world,what makes of the united states,European colonization began around 1600 and came mostly from England.
You are helpful assistant that knows a lot of differenet facts about the world,how many times did Serena Williams play the French Open,"Her total of 15 Grand Slam singles titles is sixth on the all-time list, and fourth in the open era , behind Steffi Graf (22 titles) and Chris Evert and Martina Navratilova (18 titles each)."
You are helpful assistant that knows a lot of differenet facts about the world,where is big pokey from,In 2005 he was featured in a song which was #93 on US Top 100 [][] with Paul Wall called Sittin' Sidewayz .
You are helpful assistant that knows a lot of differenet facts about the world,what is the poem evangeline by longfellow about?,"The poem follows an Acadian girl named Evangeline and her search for her lost love Gabriel, set during the time of the Expulsion of the Acadians ."
You are helpful assistant that knows a lot of differenet facts about the world,who did cy young play for,"That same year, baseball fans named him to the Major League Baseball All-Century Team ."
You are helpful assistant that knows a lot of differenet facts about the world,how old was sue lyon when she made lolita,"Lolita is a 1962 comedy-drama film by Stanley Kubrick based on the classic novel of the same title by Vladimir Nabokov , centres around a middle-aged man who becomes obsessed with a teenage girl."
You are helpful assistant that knows a lot of differenet facts about the world,how big is a land section generally,"A quarter section is 160 acres and a ""quarter-quarter section"" is ."
You are helpful assistant that knows a lot of differenet facts about the world,what part of florida is ray charles from,"Ray Charles Robinson (September 23, 1930 – June 10, 2004) was an American musician known as Ray Charles (to avoid confusion with champion boxer Sugar Ray Robinson )."
You are helpful assistant that knows a lot of differenet facts about the world,WHEN WERE SOUTHERN STATES READMITTED TO US,"The Confederate Constitution of seven state signatories— South Carolina , Mississippi , Florida , Alabama , Georgia , Louisiana and Texas —formed a ""permanent federal government"" in Montgomery, Alabama, in 1861."
You are helpful assistant that knows a lot of differenet facts about the world,what division does uconn hockey play in?,"The school is a member of National Collegiate Athletic Association Division I and the Big East Conference (which becomes the American Athletic Conference in July, 2013) for all sports except men's ice hockey ( Atlantic Hockey ) and women's ice hockey ( Hockey East )."
You are helpful assistant that knows a lot of differenet facts about the world,what type of land is savannah,"Savannas are also characterized by seasonal water availability, with the majority of rainfall confined to one season."
You are helpful assistant that knows a lot of differenet facts about the world,who played the lead roles in the movie leaving las vegas,"Leaving Las Vegas is a 1995 romantic drama film directed and written by Mike Figgis , based on a semi- autobiographical novel of the same name by John O'Brien ."
You are helpful assistant that knows a lot of differenet facts about the world,how much did yankee stadium cost,"For the original stadium, on the south side of 161st Street, go to Yankee Stadium (1923) ."
You are helpful assistant that knows a lot of differenet facts about the world,where did may 3rd tornado start,This tornadic event ranks in severity with the Palm Sunday tornado outbreak of 1965 .
You are helpful assistant that knows a lot of differenet facts about the world,"what was not a component of the triangular trade system europe, the african colonies, and the smericans","For example, from the main trading nations of Western Europe it was much easier to sail westwards after first going south of 30 N latitude and reaching the so-called "" trade winds ""; thus arriving in the Caribbean rather than going straight west to the North American mainland ."
You are helpful assistant that knows a lot of differenet facts about the world,who has brad pitt dated,"He then starred in the major international hit Ocean's Eleven (2001) and its sequels, Ocean's Twelve (2004) and Ocean's Thirteen (2007)."
You are helpful assistant that knows a lot of differenet facts about the world,what is the population of san francisco,"San Francisco (Spanish for ""Saint Francis"") was founded on June 29, 1776, when colonists from Spain established a fort at the Golden Gate and a mission named for St. Francis of Assisi a few miles away."
You are helpful assistant that knows a lot of differenet facts about the world,what color is hazel,"Eye color is thus an instance of structural color and varies depending on the lighting conditions, especially for lighter-colored eyes."
You are helpful assistant that knows a lot of differenet facts about the world,when was the last la nina,"The name La Niña originates from Spanish , meaning ""the girl,"" analogous to El Niño meaning ""the boy."""
You are helpful assistant that knows a lot of differenet facts about the world,what is spongebob's real address,"The pilot episode of SpongeBob SquarePants first aired in the United States on Nickelodeon on May 1, 1999, following the Nickelodeon Kids' Choice Awards ."
You are helpful assistant that knows a lot of differenet facts about the world,how many chinese fought in korean war,It was primarily the result of the political division of Korea by an agreement of the victorious Allies at the conclusion of the Pacific War at the end of World II War II II .
You are helpful assistant that knows a lot of differenet facts about the world,who were the main researchers for tuskegee syphilis,"Now studies require informed consent (with exceptions possible for U.S. Federal agencies which can be kept secret by Executive Order), communication of diagnosis , and accurate reporting of test results."
You are helpful assistant that knows a lot of differenet facts about the world,where is La Palma africa,La Palma () is the most north-westerly of the Canary Islands .
You are helpful assistant that knows a lot of differenet facts about the world,what is in red bull,Red Bull is sold in a tall and slim blue-silver can; in Thailand and in some parts of Asia it is sold in a wider gold can with the name of Krating Daeng or Red Bull Classic.
You are helpful assistant that knows a lot of differenet facts about the world,what is adoration catholic church,"In a monastery or convent , it is done by the resident monks or nuns and, in a parish , by volunteer parishioners since the 20th century."
You are helpful assistant that knows a lot of differenet facts about the world,what golf courses are included with tiger woods pga tour 11,Tiger Woods PGA Tour 11 is a golfing simulation video game in the Tiger Woods PGA Tour series developed by EA Tiburon and published by Electronic Arts .
You are helpful assistant that knows a lot of differenet facts about the world,what types of plate boundaries exist,"The model builds on the concepts of continental drift , developed during the first decades of the 20th century."
You are helpful assistant that knows a lot of differenet facts about the world,what can be powered by wind,"Wind power, as an alternative to fossil fuels , is plentiful, renewable , widely distributed, clean , produces no greenhouse gas emissions during operation and uses little land."
You are helpful assistant that knows a lot of differenet facts about the world,what can a guinea pig do for a human,Biological experimentation on guinea pigs has been carried out since the 17th century.
You are helpful assistant that knows a lot of differenet facts about the world,"what did ruben conclude photosynthesis ""Ruben""",The weak energy of Carbon-14 made measurement tedious.
You are helpful assistant that knows a lot of differenet facts about the world,what does karma mean in buddhism,Other Indian religions have different views on karma .
You are helpful assistant that knows a lot of differenet facts about the world,what type of business is walmart,"The company operates under the Walmart name in the United States, including the 50 states and Puerto Rico ."
You are helpful assistant that knows a lot of differenet facts about the world,what year was President kennedy president?,Kennedy ranks highly in public opinion ratings of U.S. presidents .
You are helpful assistant that knows a lot of differenet facts about the world,where was hillary clinton born,Obama went on to win the election and appoint Clinton as Secretary of State; she became the first former First Lady to serve in a president's cabinet .
You are helpful assistant that knows a lot of differenet facts about the world,what was lucy's famous saying to charlie brown,"Lucille ""Lucy"" van Pelt is a fictional character in the syndicated comic strip , written and drawn by Charles Schulz ."
You are helpful assistant that knows a lot of differenet facts about the world,what is the song going under by evanescence about?,"It was released on September 9, 2003, as the second single from their debut album Fallen ."
You are helpful assistant that knows a lot of differenet facts about the world,Who created the Duomo in Florence?,"Many people refer to particular churches simply as ""Il Duomo"" or ""The Duomo"", without regard to the full proper name of the church."
You are helpful assistant that knows a lot of differenet facts about the world,how fast does the polar jets,"The main jet streams are located near the tropopause , the transition between the troposphere (where temperature decreases with altitude ) and the stratosphere (where temperature increases with altitude)."
You are helpful assistant that knows a lot of differenet facts about the world,what is a ace in paddleball,The general rule of the game is that the ball must hit the wall without touching the court floor more than once in order to be a valid rally .
You are helpful assistant that knows a lot of differenet facts about the world,how many great white sharks left in the ocean,"In reality, humans are not the preferred prey of the great white shark."
You are helpful assistant that knows a lot of differenet facts about the world,how close or far do you want to be to the standard deviation,Cumulative probability of a normal distribution with expected value 0 and standard deviation 1.
You are helpful assistant that knows a lot of differenet facts about the world,"what is ""data ingestion""",The technique is used to improve storage utilization and can also be applied to network data transfers to reduce the number of bytes that must be sent.
You are helpful assistant that knows a lot of differenet facts about the world,what is a popular people meter,"The device, known as a 'frequency-based meter', was invented by a British company called Audits of Great Britain (AGB)."
You are helpful assistant that knows a lot of differenet facts about the world,how many seasons were there of the wire,The large cast consists mainly of character actors who are little known for their other roles.
You are helpful assistant that knows a lot of differenet facts about the world,how do i transfer my stock from transfer agent,"Stock transfer agents also run annual meetings as inspector of elections, proxy voting , and special meetings of shareholders."
You are helpful assistant that knows a lot of differenet facts about the world,what is brown flax,"Europe and North America depended on flax for cloth until the nineteenth century, when cotton overtook flax as the most common plant used for making linen paper."
You are helpful assistant that knows a lot of differenet facts about the world,what stops superman?,This shield is used in a myriad of media to symbolize the character.
You are helpful assistant that knows a lot of differenet facts about the world,what was 1933 like in the usa,"As noted by Alexander Hicks, “Roosevelt, backed by rare, non-Southern Democrat majorities — 270 non-Southern Democrat representatives and 71 non-Southern Democrat senators — spelled Second New Deal reform.”"
You are helpful assistant that knows a lot of differenet facts about the world,Who created the Duomo in Florence?,The Duomo of Milan .
You are helpful assistant that knows a lot of differenet facts about the world,what type of disability does mikey of occ have?,"After Paul Jr. was fired by Paul Sr. during a heated argument towards the end of the series, Michael tried to play the role of negotiator between his brother and father, encouraging them to try to work out their issues."
You are helpful assistant that knows a lot of differenet facts about the world,what is the population of san francisco,"Due to the growth of its population, San Francisco became a consolidated city-county in 1856."
You are helpful assistant that knows a lot of differenet facts about the world,who originally wrote the robin hood tales,"Robin Hood (spelled Robyn Hode in older manuscripts) is an heroic outlaw in English folklore , a highly skilled archer and swordsman ."
You are helpful assistant that knows a lot of differenet facts about the world,how many humps on a camel,"The two surviving species of camel are the dromedary , or one-humped camel, which is native to the Middle East and the Horn of Africa ; and the Bactrian , or two-humped camel, which inhabits Central Asia ."
You are helpful assistant that knows a lot of differenet facts about the world,when was the model t made,Company publicity said this was because the new car was such a departure from the old that Henry wanted to start all over again with the letter A.
You are helpful assistant that knows a lot of differenet facts about the world,who played the piano in charlie brown,"In one game, when Frieda desperately asked Schroeder; ""Wouldn't you like just once to see Charlie Brown hit that ball?"", Schroeder's calm reply was; ""No, I am not prepared to have the world come to an end""."
You are helpful assistant that knows a lot of differenet facts about the world,who won the 1967 nba championship,"The 1967 NBA World Championship Series was the championship series of the 1966-67 National Basketball Association season , and was the conclusion of the 1967 NBA Playoffs ."
You are helpful assistant that knows a lot of differenet facts about the world,how much does test drive unlimited cost for psp,The terrain is modelled after the Hawaiian island of Oahu that features some 1000 miles of roads and highways.
You are helpful assistant that knows a lot of differenet facts about the world,when was the last national football championship for auburn,The Auburn Tigers compete in the Football Bowl Subdivision (FBS) of the National Collegiate Athletics Association (NCAA) and the Western Division of the Southeastern Conference (SEC).
You are helpful assistant that knows a lot of differenet facts about the world,what is catcher in the rye about,"Originally published for adults, it has since become popular with adolescent readers for its themes of teenage angst and alienation."
You are helpful assistant that knows a lot of differenet facts about the world,how tall is an indoor girls volleyball net,"But simply, play proceeds as follows: a player on one of the teams begins a 'rally' by serving the ball (tossing or releasing it and then hitting it with a hand or arm), from behind the back boundary line of the court, over the net, and into the receiving team's court."
You are helpful assistant that knows a lot of differenet facts about the world,what is petit lemans,"In addition to the overall race, teams of two or three drivers per car compete for class victories in different categories, divided into Le Mans prototypes and grand tourers ."
You are helpful assistant that knows a lot of differenet facts about the world,when did spongebob first air,"It is currently Nickelodeon's longest-running cartoon, and currently in its ninth season ."
You are helpful assistant that knows a lot of differenet facts about the world,where was pebbles flintstone born?,"She spent most of her time with her best friend and later husband Bamm-Bamm Rubble whom (as an adult) she affectionately nicknames ""Bammer."""
You are helpful assistant that knows a lot of differenet facts about the world,who is mary matalin married to,She is married to Democratic political consultant James Carville .
You are helpful assistant that knows a lot of differenet facts about the world,who started the crusades,"The term ""crusade"" is also used to describe religiously motivated campaigns conducted between 1100 and 1600 in territories outside the Levant usually against pagans, heretics, and peoples under the ban of excommunication for a mixture of religious, economic, and political reasons."
You are helpful assistant that knows a lot of differenet facts about the world,what species is a spider,"Spiders' guts are too narrow to take solids, and they liquidize their food by flooding it with digestive enzymes and grinding it with the bases of their pedipalps , as they do not have true jaws."
You are helpful assistant that knows a lot of differenet facts about the world,what is nicki minaj real name,"As of 2013, Minaj has sold over 5 Million albums worldwide."
You are helpful assistant that knows a lot of differenet facts about the world,what is north korea size,"Food output is one of the lowest worldwide, with the UN estimating 16 million people requiring food aid ."
You are helpful assistant that knows a lot of differenet facts about the world,What are the different translations for the Bible,"Since then, the Bible has been translated into many more languages ."
You are helpful assistant that knows a lot of differenet facts about the world,what happened to george o'malley on grey's anatomy?,"Knight received generally positive reviews for his performance as O'Malley, and garnered a nomination for Outstanding Supporting Actor in a Drama Series at the 59th Primetime Emmy Awards ."
You are helpful assistant that knows a lot of differenet facts about the world,what is going to be done with the orbiters?,"A fifth operational orbiter, Endeavour , was built in 1991 to replace Challenger."
You are helpful assistant that knows a lot of differenet facts about the world,how did the us finally force and defeat the indians,"The American Indians were led by Little Turtle of the Miamis , Blue Jacket of the Shawnees and Buckongahelas of the Delawares (Lenape) ."
You are helpful assistant that knows a lot of differenet facts about the world,how many members are in the house of representatives,The total number of voting representatives is fixed by law at 435.
You are helpful assistant that knows a lot of differenet facts about the world,what is h/o ETOH abuse?,"EtOH, a shorthand form of ethanol , or drinking alcohol , often used by medical professionals (i.e. EtOH withdrawal)."
You are helpful assistant that knows a lot of differenet facts about the world,what types of massage are good for sinus pressure,The massage subject may be fully or partially clothed or unclothed.
You are helpful assistant that knows a lot of differenet facts about the world,where is money made in the united states,"Several countries use it as their official currency , and in many others it is the de facto currency ."
You are helpful assistant that knows a lot of differenet facts about the world,what was mao cultural revolution,"As a result, Mao is still officially held in high regard by many Chinese as a great political strategist, military mastermind, and savior of the nation."
You are helpful assistant that knows a lot of differenet facts about the world,"what is ""data ingestion""","In the deduplication process, unique chunks of data, or byte patterns, are identified and stored during a process of analysis."
You are helpful assistant that knows a lot of differenet facts about the world,how are antibodies used in,"In most cases, interaction of the B cell with a T helper cell is necessary to produce full activation of the B cell and, therefore, antibody generation following antigen binding."
You are helpful assistant that knows a lot of differenet facts about the world,"what did ruben conclude photosynthesis ""Ruben""","After several failed attempts, Martin Kamen collected the results of a 120-hour cyclotron bombardment of graphite and trudged in the rain with it to the “Rat House,” adjacent both to the Chemistry Department and to the cyclotron , and Sam Ruben's desk."
